LocationDesc,Diabetes among adults,Obesity among adults
Alabama,15.46949153,38.81486486
Alaska,9.645454545,32.7025641
Arizona,13.19459459,34.22405063
Arkansas,14.23239437,38.17972973
California,12.22597403,28.2
Colorado,8.51641791,25.59625
Connecticut,11.23424658,30.09459459
Delaware,13.00655738,36.33333333
District of Columbia,9.6,25.17272727
Florida,11.83589744,29.675
Georgia,12.69104478,33.89866667
Guam,16.1109375,32.41184211
Hawaii,10.44078947,28.33571429
Idaho,10.58909091,33.05
Illinois,11.9671875,33.09
Indiana,13.35138889,37.39210526
Iowa,11.62857143,37.63428571
Kansas,11.785,36.17
Kentucky,14.49821429,38.58970588
Louisiana,14.13538462,38.80416667
Maine,10.59827586,33.67464789
Maryland,11.56097561,31.35952381
Massachusetts,10.29444444,26.08026316
Michigan,11.62112676,35.01282051
Minnesota,10.81566265,33.36071429
Mississippi,15.48679245,40.45925926
Missouri,12.13098592,36.44683544
Montana,9.4875,32.38382353
Nebraska,12.87162162,36.16538462
Nevada,11.3952381,31.55441176
New Hampshire,8.931818182,31.41034483
New Jersey,10.89807692,28.45789474
New Mexico,13.85873016,34.12702703
New York,12.68518519,28.4695122
North Carolina,13.2915493,35.30625
North Dakota,12.05,36.65142857
Ohio,13.07605634,35.91707317
Oklahoma,13.77631579,40.39868421
Oregon,10.70508475,30.01234568
Pennsylvania,12.07419355,33.45211268
Puerto Rico,17,33.61136364
Rhode Island,11.68059701,31.64583333
South Carolina,13.7119403,36.87567568
South Dakota,11.59821429,38.48857143
Tennessee,15.29846154,36.94027778
Texas,13.01492537,33.63780488
United States,12.39142857,33.83636364
Utah,10.67096774,32.37567568
Vermont,8.902083333,29.3765625
Virgin Islands,15.8875,34.01153846
Virginia,12.24594595,32.1175
Washington,10.72183908,31.17111111
West Virginia,15.95423729,41.25909091
Wisconsin,10.93846154,37.59868421
Wyoming,10.10535714,33.253125
